first_seen,guid,title,link,pub_date,description
2026-07-05_1557,dfee9dd1b0944f9cbece692cedc0cf89,Recreation Centre Gym Equipment Upgrade,https://www.vendorpanel.nz/tsi.axd?id=dfee9dd1b0944f9cbece692cedc0cf89s2608s85996a649309434d8b99b28d494b72f0s49,"Thu, 02 Jul 2026 02:08:00 GMT","<b>Tender Details : </b> Massey University is seeking quotations from suitably qualified suppliers for the supply, delivery, installation and commissioning of commercial gym equipment for its Recreation Centres located in Auckland, Palmerston North and Wellington.<br /><br />The RFQ consists of multiple equipment lots, including cardio equipment, strength machines, and free weights/accessories. Suppliers may submit responses for one, multiple, or all lots.<br /><br />Suppliers must be able to provide commercial-grade equipment suitable for high-use recreation environments and demonstrate appropriate warranty, servicing, and parts support within New Zealand.<br /><br />Delivery and installation are anticipated between September and December 2026.<br /><br />Full requirements, specifications, and pricing schedules are provided in the RFQ documentation.<br /><br /><b>Issued by : </b> Massey University<br /><b>Closing Date</b> : 22/Jul/2026 11:00 am (UTC+12:00) Auckland, Wellington time<br"
2026-07-05_1557,a409160d1d1d411f8de7952ebd9a0f98,Enterprise Network Refresh (Solution),https://www.vendorpanel.nz/tsi.axd?id=a409160d1d1d411f8de7952ebd9a0f98s2592s930449e3ff934542b58ea67687191124s70,"Wed, 24 Jun 2026 02:42:00 GMT","<b>Tender Details : </b> Massey University is seeking a strategic delivery partner to design, supply, implement, and support a full refresh of its enterprise network infrastructure across all campuses.<br /><br />The solution must address ageing infrastructure, increasing cybersecurity risk, and capacity constraints, delivering a secure, resilient, scalable, and cloud-ready network platform that supports research, teaching, and operational needs.<br /><br />The successful Respondent will provide:<br /><br />•	Network hardware and software platforms<br /><br />•	Design, integration, and implementation services<br /><br />•	Ongoing support and managed services<br /><br />•	A commercial model supporting both capital and service-based approaches (including NaaS)<br /><br />Please note that this RFP (and any contractual commitment) is issued subject to Massey University Council approval of the Network Refresh Business Case (anticipated mid-July 2026).<br /><br /><b>Issued by : </b> Massey U"
2026-07-05_1557,43c9bb8b9c194760968d17da75376b25,176 Williams Street Kaiapoi seismic strengthening,https://www.vendorpanel.nz/tsi.axd?id=43c9bb8b9c194760968d17da75376b25s2579s85818252ab0f4a97ad4749bb758701e4s12,"Wed, 17 Jun 2026 02:51:00 GMT","<b>Tender Details : </b> Waimakariri District Council is seeking a suitably experienced building contractor to undertake seismic strengthening works at 176 Williams Street, Kaiapoi.<br /><br />The works are to strengthen the existing single-storey retail building to a target seismic rating of 80%NBS, Importance Level 2. The building is will be vacant and stripped out and possession of site is expected to be 17th August 2026<br /><br />The required services include all labour, plant, materials, temporary works, access, coordination, construction management, quality assurance and completion documentation necessary to deliver the strengthening works. The scope includes, but is not limited to, site establishment, protection of existing finishes and services, installation of new structural steel braced frames, roof cross-bracing, portal frame and masonry wall connections, new foundation pads and ground beams, proprietary anchors and bracing systems, making good, testing, inspections and pro"
2026-07-08_0755,55e87db6a34f4ceb99a2adcc8920b622,Supply and installation of Playground Equipment for Elm Green Reserve - Rangiora,https://www.vendorpanel.nz/tsi.axd?id=55e87db6a34f4ceb99a2adcc8920b622s2622s85996a649309434d8b99b28d494b72f0s49,"Wed, 08 Jul 2026 01:29:00 GMT","<b>Tender Details : </b> For the supply and installation of playground equipment for Elm Green Reserve as listed as follows:<br /><br />1 x 30m single Flying Fox <br /><br />1 x Eagles Claw Basket Swing<br /><br />1 x junior lollipop/flower swing<br /><br />1 x juniour sensory play tunnel<br /><br />1 x tic tac toe game<br /><br />1 set banister climbing bars<br /><br />Softfall matting under the swing<br /><br /><b>Issued by : </b> Waimakariri District Council<br /><b>Closing Date</b> : 05/Aug/2026 05:00 pm (UTC+12:00) Auckland, Wellington time<br /><b>Reference number</b> : VP2622<br /><b>Contact person</b> : Julie Mason Email: julie.mason@wmk.govt.nz Tel: 0273153492<br /><b>Tender categories</b> : Sport, Recreation Equip, Services<br /><b>Specification Docs</b> : 4"
2026-08-03_0849,0da8583ec5004e939c9c21522c211df8,Asbestos Property Survey and reinspection,https://www.vendorpanel.nz/PublicTenderAccess.aspx?id=0da8583ec5004e939c9c21522c211df8s2645,"Sun, 02 Aug 2026 20:15:00 GMT","<b>Tender Details : </b> Waimakariri District Council is seeking registrations of interest from suitably qualified and experienced asbestos surveying consultancies to support the next stage of its district-wide asbestos management programme. <br /><br />The opportunity covers a diverse portfolio of Council-owned buildings and structures and is expected to include surveys of previously unsurveyed pre-2000 assets, reinspections of known asbestos-containing materials, confirmatory sampling, and correction of existing survey and register information where required. The final delivery approach may comprise a combination of targeted reinspections and full management surveys, with priority given to unsurveyed properties and locations containing higher-risk materials.<br /><br /><b>Issued by : </b> Waimakariri District Council<br /><b>Closing Date</b> : 02/Sep/2026 04:00 pm (UTC+12:00) Auckland, Wellington time<br /><b>Reference number</b> : VP2645<br /><b>Contact person</b> : Not disclosed<br"
2026-08-09_1759,069a38cffa7c478f971bdbb05b207f38,Rangiora Eastern Link - Physical Works - Registration of Interest,https://www.vendorpanel.nz/PublicTenderAccess.aspx?id=069a38cffa7c478f971bdbb05b207f38s2654,"Sun, 09 Aug 2026 09:26:00 GMT","<b>Tender Details : </b> The Rangiora Eastern Link (REL) is a proposed 3 km new collector road designed to relieve traffic congestion on Southbrook Road, enhance transport efficiency, and unlock new residential areas in East Rangiora and commercial development in Southbrook. The expected cost estimate for the project is $65.9 million including physical and enabling works, fees and land acquisition.<br /><br />Council has approved the Business Case and co-funding has been confirmed for the pre-implementation phase from NZTA. Following review of the responses to a recent Market Sounding (Contract reference 26/16) , this invitation is to register interest to be shortlisted and invited to tender for the physical works contract as well as provide services during the design phase (ECI).<br /><br />Council is seeking experienced civil contractors with the capability and capacity to construct the Rangiora Eastern Link. Approximately three contractors will be shortlisted and initially engaged u"
2026-08-11_0629,42e8da21ac8d44ef85ceae5b1c801a57,CON26/29 Blake Street Carpark Redevelopment - Registration of Interest,https://www.vendorpanel.nz/tsi.axd?id=42e8da21ac8d44ef85ceae5b1c801a57s2655s85818252ab0f4a97ad4749bb758701e4s12,"Tue, 11 Aug 2026 03:21:00 GMT","<b>Tender Details : </b> This Registration of Interest is the first stage of procurement for the redevelopment and expansion of the Blake Street Public Carpark in Rangiora Township.<br /><br />The works will include:<br /><br />- Stripping, relevelling, and resurfacing of the bulk carpark area.<br /><br />- Replacement of approximately 130m of AC watermain with new DN150-DN200<br /><br />- Removal of existing kerbs, gardens, and lighting assets<br /><br />- Construct new kerbs, channels, and additional underground drainage to tie into the existing network<br /><br />- High amenity paving areas with street furniture <br /><br />- Adjusting the existing lighting network including installing and commissioning new poles and luminaires, and extending the cable and duct network<br /><br />- New carpark linemarking and signage<br /><br />- Construction of new garden areas and tree pits ready for planting (by others)<br /><br /><b>Issued by : </b> Waimakariri District Council<br /><b>Closing D"
2026-08-12_0654,aed6354b384f45cf903b89efa1c125e2,Student Accommodation Asset Development,https://www.vendorpanel.nz/PublicTenderAccess.aspx?id=aed6354b384f45cf903b89efa1c125e2s2659,"Wed, 12 Aug 2026 01:46:00 GMT","<b>Tender Details : </b> Massey University requires a supplier to develop a robust asset management plan to inform future student accommodation investment decisions across all campuses. This opportunity is open to approved suppliers on the All-of-Government (AoG) Construction Consultancy Services or the Property Consultancy Services Panels to submit proposals.<br /><br /><b>Issued by : </b> Massey University<br /><b>Closing Date</b> : 11/Sep/2026 02:00 pm (UTC+12:00) Auckland, Wellington time<br /><b>Reference number</b> : VP2659<br /><b>Contact person</b> : Sophie Pita Email: s.pita@massey.ac.nz Tel: 0277236136<br /><b>Tender categories</b> : Architecture, Design, Planning, Financial & Insurance Services, Management Advisory Services<br /><b>Specification Docs</b> : 2"
2026-08-14_0655,d436dd1432f0454d824d8bd792551e56,Contractors Briefing 2026-27,https://www.vendorpanel.nz/PublicTenderAccess.aspx?id=d436dd1432f0454d824d8bd792551e56s2661,"Fri, 14 Aug 2026 00:27:00 GMT","<b>Tender Details : </b> The Council is holding its annual Contractors Briefing - contractors are invited to register as per the attachment, and attend<br /><br /><b>Issued by : </b> Waimakariri District Council<br /><b>Closing Date</b> : 04/Sep/2026 05:00 pm (UTC+12:00) Auckland, Wellington time<br /><b>Reference number</b> : VP2661<br /><b>Contact person</b> : Not disclosed<br /><b>Tender categories</b> : Construction & Operation, Mining & Quarrying & Oil & Gas, Sport, Recreation Equip, Services, Utilities, Water & Sewage<br /><b>Specification Docs</b> : 1"
2026-08-17_0601,52a4b650482149ea800ced8fbdf59445,"Audio Visual Technology: Supply, Delivery & Support",https://www.vendorpanel.nz/tsi.axd?id=52a4b650482149ea800ced8fbdf59445s2662s930449e3ff934542b58ea67687191124s70,"Mon, 17 Aug 2026 01:11:00 GMT","<b>Tender Details : </b> Services for design, supply, install, test, certify, warranty and support of Audio-Visual (AV) technology along with the necessary physical infrastructure (lecterns, sensors, microphones, document scanners, controllers and display equipment)—across Massey’s three campuses. Delivery of these services must conform to strict technical standards and documentation requirements provided by Massey. <br /><br /> <br /><br /> <br /><br />The outcome of the procurement is to identify a single national supplier who can provide the services outlined above at each of the Massey campuses – Auckland, Manawatu, and Wellington. However, Massey University reserves the right to appoint one or more suppliers, including on a campus-by-campus basis, where this represents the best overall procurement outcome.<br /><br /><b>Issued by : </b> Massey University<br /><b>Closing Date</b> : 14/Sep/2026 10:00 am (UTC+12:00) Auckland, Wellington time<br /><b>Reference number</b> : VP2662<br /"
